नाच
साहसी
कपड़ा
गोली
आक्रामक
सहायक
आमिर
बेकर
योद्धा
नहाना
खूबसूरत
ट्रकवाला
सौंदर्य
वेल्डर
शाक्त
लाइब्रेरियन
फोजी
केशियर
निशानची
बातूनी
कप्तान
बैंकर
बैंकर
प्रमुख
रसोइया
अंगरक्षक
मालिक
प्यारा
प्यार
अध्यापक
प्रोफ़ेसर
गुरु
फूल
कर्नल
सेनापति
नौकर
डेंटिस्ट
डॉक्टर
इंजीनियर
गीक
रोमांस
प्रबंधन
क्रिकेट
डंडा
मरना
मारना
भागना
