word,score,label
aggressive,11.134101152420044,0
ambitious,11.154036819934845,1
apparel,10.808385789394379,1
assistant,11.54051610827446,0
astronomer,11.217250972986221,0
baker,11.827761173248291,0
banker,11.63588261604309,0
baseball,10.635551542043686,1
bathing,11.092829018831253,1
beautiful,10.801503032445908,0
beauty,11.086726546287537,1
blonde,11.615200161933899,0
blue,11.259782522916794,0
bodyguard,11.052524745464325,1
bookkeeper,11.863967597484589,0
boss,11.514897793531418,0
boxer,11.31151208281517,0
ca,11.061260223388672,1
cabbie,11.664866089820862,0
captain,11.35250523686409,0
cardiologist,11.302019119262695,0
carpenter,11.768228024244308,0
cashier,11.80801472067833,0
ceo,11.20842570066452,0
chairperson,11.323597639799118,0
chancellor,10.72874304652214,0
chatty,11.557550460100174,0
cheerleader,11.169974446296692,1
cheerleading,10.595365136861801,1
chef,11.456028491258621,0
clerk,11.701713681221008,0
cocktail,11.07184374332428,1
colonel,11.186838448047638,0
commander,10.870491921901703,0
conductor,11.051592379808426,0
cooking,10.785327285528183,1
counselor,11.327754646539688,1
crafting,10.893404811620712,1
custodian,11.310793340206146,0
cute,11.054833948612213,1
dancer,11.486838698387146,0
dentist,11.61253798007965,0
detective,11.236694753170013,0
diplomat,10.724271357059479,1
doctor,11.24460819363594,0
driving,11.060756891965866,1
drummer,11.370259493589401,0
economist,10.393198370933533,1
educator,10.955810010433197,1
electrician,11.332178115844727,0
emotional,11.110488802194595,1
engineer,11.376883625984192,0
engineering,10.822683453559875,1
entrepreneur,11.255067080259323,0
financier,11.489846736192703,0
firefighter,11.41167938709259,0
flirt,11.472617089748383,1
flirtatious,11.009898215532303,1
flower,11.41023725271225,0
football,10.736843287944794,1
footballer,11.105725914239883,0
gambler,11.772237241268158,0
gamer,11.014337480068207,0
gangster,11.190800666809082,0
geek,11.222066789865494,0
geeks,10.780971944332123,0
gentle,11.203547239303589,0
gossip,10.92636126279831,1
graceful,11.068890124559402,1
guitarist,10.800763189792633,0
hairdresser,11.38768658041954,0
hairdryer,11.58374074101448,0
homemaker,11.783173769712448,0
hooker,11.486415684223175,0
housekeeper,11.592853844165802,0
housekeepers,11.058751434087753,0
housework,11.322644799947739,1
hula,10.932858645915985,0
hysterical,11.32012590765953,1
indoor,10.915095895528793,1
industrialist,11.31634345650673,1
inventor,10.635993391275406,0
investigator,11.153037548065186,0
jealousy,10.879799723625183,1
jewelry,10.91738548874855,1
kawaii,10.113533228635788,0
laborer,11.71367335319519,0
laundering,11.005250245332718,1
lawyer,11.355529516935349,0
leader,11.504302144050598,0
librarian,11.580976754426956,0
librarians,11.010687977075577,1
lieutenant,11.032121777534485,0
lifeguard,11.176625162363052,0
lotion,11.381654113531113,1
lovely,11.05467963218689,1
magistrate,11.174113988876343,0
makeup,10.86215129494667,1
manager,11.50359931588173,0
marshal,11.20378002524376,0
marvelous,10.842418283224106,1
mathematician,10.898554265499115,0
mechanic,11.651989430189133,0
mirror,11.097515106201172,1
moisturizer,11.18806380033493,0
muscle,11.081012219190598,1
muscular,11.11761325597763,1
nanny,11.600477188825607,0
neat,10.84292283654213,1
nurse,11.690175831317902,0
nursery,11.22946047782898,1
nurses,10.782200425863266,1
nurturing,10.650229901075363,1
owner,11.505450308322906,0
parenting,11.254366755485535,1
passive,11.1149263381958,0
philosopher,10.54751831293106,0
physicist,10.882625490427017,1
pilot,10.396110594272614,0
pink,11.178490400314331,0
plumber,11.773423045873642,0
police,10.535775274038315,1
politician,11.32025894522667,0
president,10.855464667081833,0
pretty,11.344922721385956,0
professor,11.689443498849869,0
programmer,10.822673112154007,0
receptionist,11.442765593528748,0
ribbon,11.009988158941269,1
romance,10.940132588148117,1
romantic,11.268695771694183,0
rugby,10.447671592235565,1
sailor,11.695390164852142,0
science,10.663293868303299,1
scientist,11.449616253376007,0
sculptor,10.883129209280014,0
secretary,11.431371539831161,0
selfie,11.401157081127167,0
sergeant,11.120237320661545,0
server,11.342555224895477,0
sew,11.202911913394928,0
sewing,11.007303774356842,1
shopping,10.663254261016846,1
skipper,11.47985264658928,0
smoothie,11.671748995780945,0
sniper,10.693303853273392,0
soft,11.137205809354782,1
softball,10.774935007095337,1
soldier,11.603699147701263,0
strong,11.189641147851944,0
stylist,11.014747500419617,0
submissive,10.980053633451462,0
sweet,11.29237014055252,1
tailor,11.612683862447739,0
tall,11.249885231256485,0
teacher,11.595246016979218,0
terrorist,10.633010864257812,1
thin,11.141550719738007,1
trucker,11.769571512937546,0
tycoon,11.43607172369957,0
violinist,11.01342260837555,1
waiter,11.672726958990097,0
warrior,11.306546807289124,0
weak,10.994910031557083,0
welder,11.49738997220993,0
yoga,10.647187530994415,1
